MeasurementID;BrowseName;Description;EngineeringUnits;MeasurementPeriod;DataType;HasStatisticComponent 
1405;AcActivePowerL2Min;Active Power L2 minimum. Based on AcActivePowerL2. May be reset by ResetStatistics or other mechanisms.;W;-;Float;YES
1406;AcActivePowerL3;Active Power L3;W;-;Float;NO
1407;AcActivePowerL3Max;Active Power L3 maximum. Based on AcActivePowerL3. May be reset by ResetStatistics or other mechanisms.;W;-;Float;YES
1408;AcActivePowerL3Min;Active Power L3 minimum. Based on AcActivePowerL3. May be reset by ResetStatistics or other mechanisms.;W;-;Float;YES
1409;AcActivePowerPe;Active Power;W;-;AcPeDataType;NO
1410;AcActivePowerPeMin;Active Power minimum (the minimum of each phase is tracked individually). Based on AcActivePowerPe. May be reset by ResetStatistics or other mechanisms.;W;-;AcPeDataType;YES
1411;AcActivePowerPeMax;Active Power maximum (the maximum of each phase is tracked individually). Based on AcActivePowerPe. May be reset by ResetStatistics or other mechanisms.;W;-;AcPeDataType;YES
1412;AcActivePowerTotal;Active Power total;W;-;Float;NO
1413;AcActivePowerTotalMax;Active Power total maximum. Based on AcActivePowerTotal. May be reset by ResetStatistics or other mechanisms.;W;-;Float;YES
1414;AcActivePowerTotalMin;Active Power total minimum. Based on AcActivePower. May be reset by ResetStatistics or other mechanisms.;W;-;Float;YES
1416;AcActivePowerTotalImport15minCompleted;Active Power total import in last completed period (fixed 15min interval starting with the full hour);W;900 s, FixedBlockCompleted;Float;NO
1417;AcActivePowerTotalExport15minCompleted;Active Power total export in last completed period (fixed 15min interval starting with the full hour);W;900 s, FixedBlockCompleted;Float;NO
1418;AcActivePowerTotalSumMax15minCompleted;Active Power total (import - export) maximum in the last completed period (fixed 15min interval starting with the full hour).;W;900 s,FixedBlockCompleted;Float;NO
1419;AcActivePowerTotalSumMin15minCompleted;Active Power total (import - export) minimum - demand of last completed period (fixed 15min interval starting with the full hour);W;900 s,FixedBlockCompleted;Float;NO
1420;AcActivePowerTotalImport15minInstantaneous;Active Power total import in the instantaneous period (fixed 15min interval starting with the full hour);W;900 s, FixedBlockInstantaneous;Float;NO
1421;AcActivePowerTotalExport15minInstantaneous;Active Power total export in the instantaneous period (fixed 15min interval starting with the full hour);W;900 s, FixedBlockInstantaneous;Float;NO
1422;AcActivePowerTotalSumMax15minInstantaneous;Active Power total (import - export) maximum in the instantaneous period (fixed 15min interval starting with the full hour);W;900 s, FixedBlockInstantaneous;Float;NO
1423;AcActivePowerTotalSumMin15minInstantaneous;Active Power total (import - export) minimum in the instantaneous period (fixed 15min interval starting with the full hour);W;900 s, FixedBlockInstantaneous;Float;NO
1424;AcActivePowerTotalImport15minPredicted;Active Power total import predicted in the instantaneous period (fixed 15min interval starting with the full hour);W;900 s,FixedBlockPredicted;Float;NO
1425;AcActivePowerTotalExport15minPredicted;Active Power total export predicted in the instantaneous period (fixed 15min interval starting with the full hour);W;900 s,FixedBlockPredicted;Float;NO
1426;AcActivePowerTotalImportCompleted;Active Power total import in last completed period (fixed interval starting with the full hour);W;user-defined, FixedBlockCompleted;Float;NO
1427;AcActivePowerTotalExportCompleted;Active Power total export in last completed period (fixed interval starting with the full hour);W;user-defined, FixedBlockCompleted;Float;NO
1428;AcActivePowerTotalSumMaxCompleted;Active Power total (import - export) maximum - demand of last completed period (fixed interval starting with the full hour);W;user-defined, FixedBlockCompleted;Float;NO
