IEC CDD Code,UnitId,DisplayName,Description
0112/2///62720#UAA135,705742453,C/m³,coulomb per cubic metre
0112/2///62720#UAA138,705742456,Ci,curie
0112/2///62720#UAA139,705742457,Ebit/s,exabit per second
0112/2///62720#UAA140,705742480,Eibit/m,exbibit per metre
0112/2///62720#UAA141,705742481,Eibit/m²,exbibit per square metre
0112/2///62720#UAA142,705742482,Eibit/m³,exbibit per cubic metre
0112/2///62720#UAA143,705742483,Eibyte,exbibyte
0112/2///62720#UAA144,705742484,F,farad
0112/2///62720#UAA145,705742485,F/km,farad per kilometre
0112/2///62720#UAA146,705742486,F/m,farad per metre
0112/2///62720#UAA147,705742487,GΩ,gigaohm
0112/2///62720#UAA148,705742488,GΩ·m,gigaohm metre
0112/2///62720#UAA149,705742489,GC/m³,gigacoulomb per cubic metre
0112/2///62720#UAA150,705742512,GHz,gigahertz
0112/2///62720#UAA151,705742513,GHz·m,gigahertz metre
0112/2///62720#UAA152,705742514,GJ,gigajoule
0112/2///62720#UAA153,705742515,GPa,gigapascal
0112/2///62720#UAA154,705742516,GW,gigawatt
0112/2///62720#UAA155,705742517,GW·h,gigawatt hour
0112/2///62720#UAA156,705742518,Gbit/s,gigabit per second
0112/2///62720#UAA157,705742519,Gbyte/s,gigabyte per second
0112/2///62720#UAA158,705742520,GeV,gigaelectronvolt
0112/2///62720#UAA159,705742521,Gibit/m,gibibit per metre
0112/2///62720#UAA160,705742544,Gibit/m²,gibibit per square metre
0112/2///62720#UAA161,705742545,Gibit/m³,gibibit per cubic metre
0112/2///62720#UAA162,705742546,Gibyte,gibibyte
0112/2///62720#UAA163,705742547,Gy,gray
0112/2///62720#UAA164,705742548,Gy/s,gray per second
0112/2///62720#UAA165,705742549,H,henry
0112/2///62720#UAA166,705742550,H/Ω,henry per ohm
0112/2///62720#UAA167,705742551,H/kΩ,henry per kiloohm
0112/2///62720#UAA168,705742552,H/m,henry per metre
0112/2///62720#UAA169,705742553,H⁻¹,reciprocal henry
0112/2///62720#UAA170,705742576,Hz,hertz
0112/2///62720#UAA171,705742577,Hz·m,hertz metre
0112/2///62720#UAA172,705742578,J,joule
0112/2///62720#UAA173,705742579,J/K,joule per kelvin
0112/2///62720#UAA174,705742580,J/g,joule per gram
0112/2///62720#UAA175,705742581,J/kg,joule per kilogram
0112/2///62720#UAA176,705742582,J/(kg·K),joule per kilogram kelvin
0112/2///62720#UAA177,705742583,J/m⁴,joule per metre to the fourth power
0112/2///62720#UAA178,705742584,J/m,joule per metre
0112/2///62720#UAA179,705742585,J/m²,joule per square metre
0112/2///62720#UAA180,705742608,J/m³,joule per cubic metre
0112/2///62720#UAA181,705742609,J·m²,joule square metre
0112/2///62720#UAA183,705742611,J/mol,joule per mole
0112/2///62720#UAA184,705742612,J/(mol·K),joule per mole kelvin
0112/2///62720#UAA185,705742613,K,kelvin
0112/2///62720#UAA186,705742614,K/K,kelvin per kelvin
0112/2///62720#UAA187,705742615,K/W,kelvin per watt
0112/2///62720#UAA188,705742616,K/bar,kelvin per bar
