ID	Browsename	Node Class
1280	DeviceComponentConditions	Object
1281	<DeviceComponentIdentifier>	Object
1282	<CalibrationPointIdentifier>	Object
1283	CalibrationPointSet	Object
1284	DeviceConditionSet	Object
1285	DeviceComponentConditions	Object
1286	GeneralDeviceConditions	Object
1287	<DeviceComponentIdentifier>	Object
1288	<SignalCalibrationIdentifier>	Object
1289	CalibrationPointSet	Object
1290	SignalConditionSet	Object
1291	<SignalCalibrationIdentifier>	Object
1292	SignalConditionSet	Object
1293	SignalConditionSet	Object
1294	<SignalCalibrationIdentifier>	Object
1295	<SignalCalibrationIdentifier>	Object
1296	SignalConditionSet	Object
1297	SignalConditionSet	Object
1298	DeviceConditionSet	Object
1299	DeviceConditionSet	Object
1300	<SignalCalibrationIdentifier>	Object
1301	SignalConditionSet	Object
1302	SignalConditionSet	Object
1303	SignalConditionSet	Object
1304	SignalConditionSet	Object
1305	SignalConditionSet	Object
1306	SignalConditionSet	Object
1307	CalibrationTimestamp	Variable
1308	TypeOfCalibration	Variable
1309	CalibrationTimestamp	Variable
1310	TypeOfCalibration	Variable
1311	EnumDictionaryEntries	Variable
1312	EnumValues	Variable
1313	ValueAsDictionaryEntries	Variable
1314	ValueAsText	Variable
1315	AbsoluteSampleGasPressure	Variable
1316	OperationCycleCounter	Variable
1317	OperationDuration	Variable
1318	PowerOnDuration	Variable
1319	AmperometricSensorSlope	Variable
1320	AbsoluteSampleGasPressure	Variable
1321	ChopperFrequencyDeviation	Variable
1322	SampleCellTemperature	Variable
1323	SourceResidualLife	Variable
1324	SampleTemperature	Variable
1325	ChopperFrequencyDeviation	Variable
1326	SampleCellTemperature	Variable
1327	SampleTemperature	Variable
1328	AnalogSignal	Variable
1329	BlockTemperature	Variable
1330	CatalystTemperature	Variable
1331	CombustionAirPressure	Variable
1332	FuelGasPressure	Variable
1333	EngineeringUnits	Variable
1334	EngineeringUnits	Variable
1335	CatalystTemperature	Variable
1336	EngineeringUnits	Variable
1337	EngineeringUnits	Variable
1338	SensingElementTemperature	Variable
1339	SensingElementTemperature	Variable
1340	ActualInjectedVolume	Variable
1341	CarrierGasGaugePressure	Variable
1342	CarrierGasVolumeFlow	Variable
1343	SensingElementTemperature	Variable
1344	FuelGasPressure	Variable
1345	CombustionAirPressure	Variable
1346	BlockTemperature	Variable
1347	TransmissionRatio	Variable
1348	SignalNoiseRatio	Variable
1349	SignalFitQuality	Variable
1350	CoolerTemperature	Variable
1351	LaserTemperature	Variable
1352	SampleTemperature	Variable
1353	AbsoluteSampleGasPressure	Variable
1354	RelativeHeatOutput	Variable
1355	SensingElementTemperature	Variable
1356	PhMeasuringMethod	Variable
1357	SensorNextCalibration	Variable
1358	ReactorTemperature	Variable
1359	ReferenceInjectionVolume	Variable
1360	SensorCleaningsCounter	Variable
1361	SensorSterilisationsCounter	Variable
1362	SampleWaterVolumeFlow	Variable
1363	EngineeringUnits	Variable
1364	SensingElementImpedance	Variable
1365	SensorReferenceImpedance	Variable
1366	ConductivityMeasuringMethod	Variable
1367	EngineeringUnits	Variable
1368	TemperatureCompensationStyle	Variable
1369	SensorCleaningsCounter	Variable
1370	SensorSterilisationsCounter	Variable
1371	EngineeringUnits	Variable
1372	EngineeringUnits	Variable
1373	EngineeringUnits	Variable
1374	SensorNextCalibration	Variable
1375	EngineeringUnits	Variable
1376	SensorCleaningsCounter	Variable
1377	SensorSterilisationsCounter	Variable
1378	SensingElementTemperature	Variable
1379	EngineeringUnits	Variable
1380	SourceResidualLife	Variable
1381	EngineeringUnits	Variable
1382	EngineeringUnits	Variable
1383	EngineeringUnits	Variable
1384	SourceResidualLife	Variable
1385	CarrierGasGaugePressure	Variable
1386	SampleGasVolumeFlow	Variable
1387	RelativeReagentLevel	Variable
1388	AbsoluteSampleGasPressure	Variable
1389	CarrierGasVolumeFlow	Variable
1390	ChopperFrequencyDeviation	Variable
1391	ReactorTemperature	Variable
1392	SampleCellTemperature	Variable
1393	DetectorZeroSignal	Variable
1394	SampleWaterVolumeFlow	Variable
1395	ReferenceInjectionVolume	Variable
1396	ActualInjectedVolume	Variable
1397	EnumDictionaryEntries	Variable
1398	CoolerTemperature	Variable
1399	RelativeReagentLevel	Variable
1400	AbsoluteSampleGasPressure	Variable
1401	SampleGasVolumeFlow	Variable
1402	DetectorZeroSignal	Variable
1403	ChopperFrequencyDeviation	Variable
1404	EnumValues	Variable
1405	SampleCellTemperature	Variable
1406	SampleGasVolumeFlow	Variable
1407	SourceResidualLife	Variable
1408	EngineeringUnits	Variable
1409	EngineeringUnits	Variable
1410	EngineeringUnits	Variable
1411	EngineeringUnits	Variable
1412	EngineeringUnits	Variable
1413	EngineeringUnits	Variable
1414	SampleTemperature	Variable
1415	SensingElementTemperature	Variable
1416	EngineeringUnits	Variable
1417	EngineeringUnits	Variable
1418	SampleTemperature	Variable
1419	EngineeringUnits	Variable
1420	AbsoluteSampleGasPressure	Variable
1421	ValueAsDictionaryEntries	Variable
1422	LaserTemperature	Variable
1423	SampleTemperature	Variable
1424	SensorSlope	Variable
1425	SensorT90	Variable
1426	SignalFitQuality	Variable
1427	SensorAsymmetryPotential	Variable
1428	SignalNoiseRatio	Variable
1429	ValueAsText	Variable
1430	TransmissionRatio	Variable
1431	EngineeringUnits	Variable
1432	EngineeringUnits	Variable
1433	EngineeringUnits	Variable
1434	RelativeHeatOutput	Variable
1435	SampleGasVolumeFlow	Variable
1436	SensingElementTemperature	Variable
1437	EngineeringUnits	Variable
1438	EngineeringUnits	Variable
1439	AbsoluteAirPressure	Variable
1440	AmperometricSensorSlope	Variable
1441	AmperometricSensorZeroPoint	Variable
1442	SensorT90	Variable
1443	EngineeringUnits	Variable
1444	EngineeringUnits	Variable
1445	EngineeringUnits	Variable
1446	SensorCleaningsCounter	Variable
1447	SensorNextCalibration	Variable
1448	SensorSterilisationsCounter	Variable
1449	SensingElementTemperature	Variable
1450	EngineeringUnits	Variable
1451	EngineeringUnits	Variable
1452	AbsoluteAirPressure	Variable
1453	OpticalFluorescenseQuenchingSensorSlope	Variable
1454	OpticalFluorescenseQuenchingSensorZeroPoint	Variable
1455	SensorT90	Variable
1456	EngineeringUnits	Variable
1457	EngineeringUnits	Variable
1458	EngineeringUnits	Variable
1459	SensorCleaningsCounter	Variable
1460	SensorNextCalibration	Variable
1461	SensorSterilisationsCounter	Variable
1462	SensingElementTemperature	Variable
1463	EngineeringUnits	Variable
1464	EngineeringUnits	Variable
1465	SensorAsymmetryPotential	Variable
1466	SensorSlope	Variable
1467	EnumDictionaryEntries	Variable
1468	SensorT90	Variable
1469	EngineeringUnits	Variable
1470	EngineeringUnits	Variable
1471	PhMeasuringMethod	Variable
1472	SensingElementImpedance	Variable
1473	SensorCleaningsCounter	Variable
1474	SensorNextCalibration	Variable
1475	SensorReferenceImpedance	Variable
1476	EnumValues	Variable
1477	ValueAsDictionaryEntries	Variable
1478	ValueAsText	Variable
1479	SensorSterilisationsCounter	Variable
1480	SensingElementTemperature	Variable
1481	EnumDictionaryEntries	Variable
1482	EnumDictionaryEntries	Variable
1483	EnumValues	Variable
1484	EnumValues	Variable
1485	ValueAsDictionaryEntries	Variable
1486	ValueAsText	Variable
1487	EngineeringUnits	Variable
1488	ValueAsDictionaryEntries	Variable
1489	EngineeringUnits	Variable
1490	EngineeringUnits	Variable
1491	EngineeringUnits	Variable
1492	ValueAsText	Variable
1493	ConductivityCellConstant	Variable
1494	EngineeringUnits	Variable
1495	ConductivityMeasuringMethod	Variable
1496	SensorCleaningsCounter	Variable
1497	SensorSterilisationsCounter	Variable
1498	SensingElementTemperature	Variable
1499	TemperatureCompensationStyle	Variable
1500	EnumDictionaryEntries	Variable
1501	EnumValues	Variable
1502	ValueAsDictionaryEntries	Variable
1503	ValueAsText	Variable
1504	EngineeringUnits	Variable
1505	ConductivityCellConstant	Variable
1506	EnumDictionaryEntries	Variable
1507	AbsoluteAirPressure	Variable
1508	EnumValues	Variable
1509	ValueAsDictionaryEntries	Variable
1510	SensorT90	Variable
1511	AmperometricSensorZeroPoint	Variable
1512	CalibrationSetpoint	Variable
1513	CalibrationActualValue	Variable
1514	ValueAsText	Variable
1515	EnumValues	Variable
1516	AbsoluteAirPressure	Variable
1517	OpticalFluorescenseQuenchingSensorSlope	Variable
1518	OpticalFluorescenseQuenchingSensorZeroPoint	Variable
1519	SensorT90	Variable
1520	SensorCleaningsCounter	Variable
1521	SensorNextCalibration	Variable
1522	SensorSterilisationsCounter	Variable
1523	SensingElementTemperature	Variable
1524	EngineeringUnits	Variable
1525	EngineeringUnits	Variable
1526	EngineeringUnits	Variable
1527	EngineeringUnits	Variable
1528	InternalTemperature	Variable
1529	ResidualLife	Variable
1530	EngineeringUnits	Variable
1531	EngineeringUnits	Variable
1532	EngineeringUnits	Variable
1533	EngineeringUnits	Variable
1534	EngineeringUnits	Variable
1535	EngineeringUnits	Variable
1536	EngineeringUnits	Variable
1537	EngineeringUnits	Variable
1538	EngineeringUnits	Variable
1539	EngineeringUnits	Variable
1540	EngineeringUnits	Variable
1541	EngineeringUnits	Variable
1542	EngineeringUnits	Variable
1543	EngineeringUnits	Variable
1544	EngineeringUnits	Variable
1545	EngineeringUnits	Variable
1546	EngineeringUnits	Variable
1547	EngineeringUnits	Variable
1548	EngineeringUnits	Variable
1549	EngineeringUnits	Variable
1550	EngineeringUnits	Variable
1551	EngineeringUnits	Variable
1552	EngineeringUnits	Variable
1553	EngineeringUnits	Variable
1554	EngineeringUnits	Variable
1555	EngineeringUnits	Variable
1556	EngineeringUnits	Variable
1557	EngineeringUnits	Variable
1558	EngineeringUnits	Variable
1559	EngineeringUnits	Variable
1560	EngineeringUnits	Variable
1561	EngineeringUnits	Variable
1562	PatMatrixDescription	Variable
1563	PatMeasurandDescription	Variable
1564	EngineeringUnits	Variable
1565	EngineeringUnits	Variable
1566	EngineeringUnits	Variable
1567	EngineeringUnits	Variable
1568	EngineeringUnits	Variable
1569	EngineeringUnits	Variable
1570	EngineeringUnits	Variable
1571	EngineeringUnits	Variable
