Id,Name,Link,ConformanceUnits
16827,PtInputFilterAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.9.7/#7.9.7.1","Powertrain Attributes Information;"
16838,PtOutputFilterAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.9.8/#7.9.8.1","Powertrain Attributes Information;"
16847,PtContactorAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.10.1/#7.10.1.1","Powertrain Attributes Information;"
16854,PtMotorStarterAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.10.3/#7.10.3.1","Powertrain Attributes Information;"
16873,PtCommonAssetAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.1","Powertrain Attributes Information;"
16875,PtAmbientAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.2/#7.11.2.1","Powertrain Attributes Information;"
16907,PtAnalogInputElectricalAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.3/#7.11.3.1","Powertrain Attributes Information;"
16913,PtAnalogOutputElectricalAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.4/#7.11.4.1","Powertrain Attributes Information;"
16928,PtAuxiliarySupplyAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.5/#7.11.5.1","Powertrain Attributes Information;"
16960,PtCertificateAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.6/#7.11.6.1","Powertrain Attributes Information;"
16963,PtCommunicationInterfaceAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.7/#7.11.7.1","Powertrain Attributes Information;"
16970,PtCoolingAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.8/#7.11.8.1","Powertrain Attributes Information;"
16973,PtHardwareAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.9/#7.11.9.1","Powertrain Attributes Information;"
17000,PtDigitalInputElectricalAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.10/#7.11.10.1","Powertrain Attributes Information;"
17009,PtDigitalOutputElectricalAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.11/#7.11.11.1","Powertrain Attributes Information;"
17024,PtFuseAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.12/#7.11.12.1","Powertrain Attributes Information;"
17046,PtInputInterfaceAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.13/#7.11.13.1","Powertrain Attributes Information;"
17085,PtOutputInterfaceAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.14/#7.11.14.1","Powertrain Attributes Information;"
17136,PtMechanicalStrengthAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.15/#7.11.15.1","Powertrain Attributes Information;"
17140,PtProtectionClassAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.16/#7.11.16.1","Powertrain Attributes Information;"
17144,PtFunctionalSafetyAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.17/#7.11.17.1","Powertrain Attributes Information;"
17149,PtSafetyFunctionsAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.18/#7.11.18.1","Powertrain Attributes Information;"
17156,PtStandardAttributesType,"https://reference.opcfoundation.org/PowerTrain/v100/docs/7.11.19/#7.11.19.1","Powertrain Attributes Information;"
